"taxon.name","taxon.rank","identifications_count","created_at","observed_on","longitude","latitude","positional_accuracy","user.login","user.id","user.name","user.observations_count","user.identifications_count","user.activity_count","license_code","num_identification_agreements","uri","stateProvince","season"
"Carpobrotus edulis","species",2,"2022-04-13T23:31:53-03:00","2022-04-13",-54.971033223,-34.9492784547,62,"lurtri",2633413,"Lucía Rodríguez-Tricot",526,492,1018,"cc-by-nc",2,"https://www.inaturalist.org/observations/111377839","Maldonado","otoño"
"Carpobrotus edulis","species",1,"2022-04-02T23:03:07-03:00","2022-04-02",-54.5655133333,-34.8010416667,6,"rpereirag",2079928,"Ramiro Pereira Garbero",692,860,1552,"cc-by-nc",1,"https://www.inaturalist.org/observations/110244729","Rocha","otoño"
"Carpobrotus edulis","species",2,"2022-03-30T11:37:44-03:00","2021-07-15",-55.12198627,-34.8790016829,194,"adela2215",5464493,"Adela Ferreira",187,83,270,"cc-by",2,"https://www.inaturalist.org/observations/109923339","Maldonado","invierno"
"Carpobrotus edulis","species",2,"2022-03-30T11:32:45-03:00","2021-08-14",-55.1403426379,-34.8732441843,1525,"elizabeth1741",5464470,"Elizabeth Rodríguez",113,150,263,,2,"https://www.inaturalist.org/observations/109922922","Maldonado","invierno"
"Carpobrotus edulis","species",3,"2022-03-28T10:08:50-03:00","2022-03-28",-55.6674066667,-34.7644616667,2,"guardianesdelacosta",5193960,"Guardianes de la Costa",202,0,202,"cc-by-nc",3,"https://www.inaturalist.org/observations/109749063","Canelones","verano"
"Carpobrotus edulis","species",2,"2022-03-26T17:07:39-03:00","2019-12-24",-55.0450138889,-34.9114611111,10,"luisfelipe4",865087,"Luis Felipe Teixeira",7342,3655,10999,,2,"https://www.inaturalist.org/observations/109574399","Maldonado","primavera"
"Carpobrotus edulis","species",2,"2022-03-04T18:49:25-03:00","2022-03-04",-55.6523083333,-34.7760283333,4,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",2,"https://www.inaturalist.org/observations/107910734","Canelones","verano"
"Carpobrotus edulis","species",2,"2022-03-01T17:02:48-03:00","2022-03-01",-53.7798425742,-34.4056583662,5,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",2,"https://www.inaturalist.org/observations/107716646","Rocha","verano"
"Carpobrotus edulis","species",2,"2022-03-01T16:23:42-03:00","2022-03-01",-53.7773942203,-34.4024113845,8,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",2,"https://www.inaturalist.org/observations/107714165","Rocha","verano"
"Carpobrotus edulis","species",1,"2022-03-01T15:05:14-03:00","2022-03-01",-53.7812702638,-34.4048821181,7,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",1,"https://www.inaturalist.org/observations/107709942","Rocha","verano"
"Carpobrotus edulis","species",2,"2022-02-20T00:15:18-03:00","2022-02-19",-55.823207855,-34.7793731689,,"ornitoloca",3322591,"Agustina Medina",1564,343,1907,"cc-by",2,"https://www.inaturalist.org/observations/107084263","Canelones","verano"
"Carpobrotus edulis","species",1,"2022-02-19T12:59:41-03:00","2022-02-19",-54.1204483755,-34.5824519709,4,"gabriellaufer",2398513,"Gabriel Laufer",935,751,1686,"cc0",1,"https://www.inaturalist.org/observations/107041694","Rocha","verano"
"Carpobrotus edulis","species",2,"2022-02-16T17:40:39-03:00","2022-02-16",-54.93718,-34.9579283333,5,"peltzi",1073001,"",433,37,470,,2,"https://www.inaturalist.org/observations/106876384","Maldonado","verano"
