observed_on,longitude,latitude,user.login,user.id,uri,stateProvince,season,reviewer,density,phenology,infrastructure
06/04/2023,-55150422,-34879508,jennigon,4160471,https://www.inaturalist.org/observations/154544864,Maldonado,otoño,Laufer,media,fruiting,0
09/04/2023,-56034835,-34882354,gabriellaufer,2398513,https://www.inaturalist.org/observations/154140599,Montevideo,otoño,Laufer,alta,No evidence of flowering,0
09/04/2023,-56040668,-34884954,gabriellaufer,2398513,https://www.inaturalist.org/observations/154140160,Montevideo,otoño,Laufer,alta,No evidence of flowering,1
09/04/2023,-56040934,-34885165,gabriellaufer,2398513,https://www.inaturalist.org/observations/154140050,Montevideo,otoño,Laufer,alta,No evidence of flowering,0
09/04/2023,-56044892,-34886792,gabriellaufer,2398513,https://www.inaturalist.org/observations/154139981,Montevideo,otoño,Laufer,media,No evidence of flowering,0
07/04/2023,-55613689,-34771506,leila155,5503949,https://www.inaturalist.org/observations/154006507,Canelones,otoño,Laufer,alta,flowering,0
05/04/2023,-55044944,-3491087,lurtri,2633413,https://www.inaturalist.org/observations/153844993,Maldonado,otoño,Laufer,media,No evidence of flowering,1
05/04/2023,-55045569,-34910112,lurtri,2633413,https://www.inaturalist.org/observations/153844895,Maldonado,otoño,Laufer,alta,No evidence of flowering,0
07/04/2023,-55776798,-34770916,diego_v,2685232,https://www.inaturalist.org/observations/153824614,Canelones,otoño,Laufer,NA,No evidence of flowering,NA
05/04/2023,-55045733,-34910255,mattzarrr,2595924,https://www.inaturalist.org/observations/153610798,Maldonado,otoño,Laufer,alta,No evidence of flowering,0
08/03/2023,-54809053,-3487299,tomillo,3973236,https://www.inaturalist.org/observations/153574035,Maldonado,verano,Laufer,alta,No evidence of flowering,0
02/04/2023,-54865671,-34913946,lurtri,2633413,https://www.inaturalist.org/observations/153350214,Maldonado,otoño,Laufer,media,No evidence of flowering,0
10/05/2023,-5.58471E+11,-3.47894E+11,intendencia_de_canelones,5779479,https://www.inaturalist.org/observations/165758448,Canelones,otoño,Mati,alta,No evidence of flowering,0
09/05/2023,-5.60722E+11,-3.4898E+11,gabriellaufer,2398513,https://www.inaturalist.org/observations/160747945,Montevideo,otoño,Mati,alta,No evidence of flowering,0
07/05/2023,-5.35372E+11,-3.40331E+11,joan349,5400623,https://www.inaturalist.org/observations/160665773,Rocha,otoño,Mati,baja,No evidence of flowering,0
07/05/2023,-5575315,-3.47644E+11,ornitoloca,3322591,https://www.inaturalist.org/observations/160469238,Canelones,otoño,Mati,media,No evidence of flowering,0
06/05/2023,-5.61057E+11,-3.48963E+11,gabriellaufer,2398513,https://www.inaturalist.org/observations/160107383,Montevideo,otoño,Mati,media,No evidence of flowering,0
06/05/2023,-5.6106E+11,-3.48963E+11,gabriellaufer,2398513,https://www.inaturalist.org/observations/160107298,Montevideo,otoño,Mati,baja,No evidence of flowering,0
29/04/2023,-5.58188E+11,-3.47729E+11,ornitoloca,3322591,https://www.inaturalist.org/observations/157858181,Canelones,otoño,Mati,media,No evidence of flowering,0
27/04/2023,-5.54069E+11,-3.47664E+11,ornitoloca,3322591,https://www.inaturalist.org/observations/157424891,Maldonado,otoño,Mati,media,No evidence of flowering,0
