observed_on,longitude,latitude,user.login,user.id,uri,stateProvince,season,reviewer,density,phenology,infrastructure
08/01/2022,-55539837,-34790977,gabriellaufer,2398513,https://www.inaturalist.org/observations/104598141,Canelones,verano,Laufer,alta,fruiting,0
29/12/2021,-56050011,-34888978,sarah1398,1786671,https://www.inaturalist.org/observations/103899006,Montevideo,primavera,Laufer,media,fruiting,0
26/12/2021,-53777474,-3440398,angelotenfennicoladeli,331307,https://www.inaturalist.org/observations/103819528,Rocha,primavera,Laufer,alta,fruiting,0
27/12/2021,-55063384,-34879911,rafatosi,1318865,https://www.inaturalist.org/observations/103799453,Maldonado,primavera,Laufer,media,fruiting,0
17/12/2021,-55708753,-34756088,weba69,2988066,https://www.inaturalist.org/observations/103243256,Canelones,primavera,Laufer,alta,fruiting,0
22/11/2021,-55708732,-34766727,julian_tocce,3647712,https://www.inaturalist.org/observations/101727836,Canelones,primavera,Laufer,NA,flowering,NA
24/10/2021,-55834583,-34780066,diego_caballero,2513727,https://www.inaturalist.org/observations/99493818,Canelones,primavera,Laufer,media/alta,flowering,NA
24/10/2021,-55836016,-34784807,diego_caballero,2513727,https://www.inaturalist.org/observations/99417636,Canelones,primavera,Laufer,alta,flowering,0
25/10/2021,-55829109,-34780749,diego_caballero,2513727,https://www.inaturalist.org/observations/99413776,Canelones,primavera,Laufer,alta,flowering/flower budding,0
24/10/2021,-54983213,-34913955,mattzarrr,2595924,https://www.inaturalist.org/observations/99412637,Maldonado,primavera,Laufer,alta,flowering,1
25/10/2021,-54975191,-34917878,mattzarrr,2595924,https://www.inaturalist.org/observations/99406590,Maldonado,primavera,Laufer,alta,flowering,0
25/10/2021,-54977067,-34917088,lurtri,2633413,https://www.inaturalist.org/observations/99403560,Maldonado,primavera,Laufer,baja,flowering,0
25/10/2021,-53777913,-34403173,aleduarte,2477449,https://www.inaturalist.org/observations/99368772,Rocha,primavera,Laufer,alta,flowering,0
20/10/2021,-54848363,-349154,gmmv80,1439323,https://www.inaturalist.org/observations/99090688,Maldonado,primavera,Laufer,alta,flowering,0
16/10/2021,-55826972,-34780529,ornitoloca,3322591,https://www.inaturalist.org/observations/98669192,Canelones,primavera,Laufer,alta,flowering,0
30/03/2021,-5572448,-34770154,klaus16,1633424,https://www.inaturalist.org/observations/72823752,Canelones,verano,Rulos,NA,flowering,NA
20/03/2021,-55724191,-34770043,klaus16,1633424,https://www.inaturalist.org/observations/71651011,Canelones,verano,Rulos,NA,flowering/fruiting,NA
06/03/2021,-54581112,-34807419,rpereirag,2079928,https://www.inaturalist.org/observations/70701312,Maldonado,verano,Rulos,media,No evidence of flowering,0
20/01/2021,-557054,-34762977,klaus16,1633424,https://www.inaturalist.org/observations/68463316,Canelones,verano,Rulos,alta,fruiting,0
19/01/2021,-55635902,-34763186,benjaayres,3963768,https://www.inaturalist.org/observations/68328641,Canelones,verano,Rulos,NA,No evidence of flowering,NA
22/11/2020,-54170147,-34664337,mateoalmada,1414687,https://www.inaturalist.org/observations/65441727,Rocha,primavera,Rulos,media,flowering/fruiting,0
30/10/2020,-56041069,-34885219,cameronr,2911172,https://www.inaturalist.org/observations/63814798,Montevideo,primavera,Rulos,NA,flowering,NA
